daytime,ExitSpeed,VExitAngle,HExitAngle,Carry,Bearing,HangTime,rho,hand,outcome,slg,LW,
182.86694,83.6,28.6,10.1,321.4,3.4,4.694,5.221E-03,Left,Fly Out,0,-0.289,
182.88674,82.5,37.9,-10.5,299.2,-20.9,4.611,5.221E-03,Left,Fly Out,0,-0.289,
182.88909,84.6,27.3,-13.1,325.8,-14.0,4.592,5.221E-03,Right,Fly Out,0,-0.289,
183.78042,84.2,37.2,-17.8,274.8,-50.6,4.690,5.182E-03,Left,Fly Out,0,-0.289,
183.80245,101.9,32.0,8.3,410.4,4.6,5.322,5.182E-03,Left,Fly Out,0,-0.289,
183.80355,86.6,36.5,18.9,324.8,34.2,5.384,5.182E-03,Right,Fly Out,0,-0.289,
183.80858,81.5,27.9,31.8,273.8,43.7,3.679,5.182E-03,Right,Fly Out,0,-0.289,
183.83272,84.8,34.9,10.7,314.3,23.9,4.883,5.182E-03,Right,Fly Out,0,-0.289,
183.83765,85.2,33.8,-30.9,329.4,-39.4,4.946,5.182E-03,Right,Fly Out,0,-0.289,
198.80494,90.3,32.4,20.9,344.3,24.0,5.465,5.240E-03,Left,Fly Out,0,-0.289,
198.83369,91.3,29.1,18.9,325.7,33.0,4.676,5.240E-03,Right,Fly Out,0,-0.289,
198.83975,97.8,36.3,2.4,363.7,-5.9,5.448,5.240E-03,Left,Fly Out,0,-0.289,
198.85861,83.0,40.7,18.1,276.6,26.8,4.811,5.240E-03,Right,Fly Out,0,-0.289,
199.81424,94.9,38.1,11.4,361.0,6.6,5.725,5.290E-03,Left,Fly Out,0,-0.289,
199.83000,79.6,43.5,-5.8,256.8,-4.7,5.288,5.290E-03,Right,Fly Out,0,-0.289,
199.86127,88.3,30.5,23.9,305.8,36.7,4.624,5.290E-03,Right,Fly Out,0,-0.289,
200.58388,80.7,41.4,3.0,260.2,6.3,5.190,5.260E-03,Right,Fly Out,0,-0.289,
200.59356,74.2,32.0,-5.3,273.6,1.8,4.484,5.260E-03,Right,Fly Out,0,-0.289,
200.61307,84.7,19.3,4.5,288.0,-3.3,3.420,5.260E-03,Left,Fly Out,0,-0.289,
200.61362,92.8,30.4,-7.9,343.8,-23.4,5.117,5.260E-03,Left,Fly Out,0,-0.289,
200.61949,97.5,31.2,12.5,370.6,14.4,5.498,5.260E-03,Left,Fly Out,0,-0.289,
200.62510,98.2,36.9,-13.6,370.6,-18.2,6.243,5.260E-03,Right,Fly Out,0,-0.289,
200.62787,70.2,27.0,-21.1,249.5,-24.3,3.667,5.260E-03,Right,Fly Out,0,-0.289,
200.63889,70.0,34.4,-15.1,248.5,-16.4,4.479,5.260E-03,Right,Fly Out,0,-0.289,
200.64597,100.6,2.8,-39.9,68.4,-44.1,0.483,5.260E-03,Right,Fly Out,0,-0.289,
200.64630,78.0,28.8,11.9,270.0,22.2,4.128,5.260E-03,Right,Fly Out,0,-0.289,
200.64758,99.4,20.3,4.1,374.9,0.1,4.183,5.260E-03,Left,Fly Out,0,-0.289,
200.64977,87.1,19.6,-43.3,218.5,-55.0,2.230,5.260E-03,Right,Fly Out,0,-0.289,
208.76329,87.4,19.0,7.3,329.2,8.2,3.734,5.144E-03,Right,Fly Out,0,-0.289,
208.76566,88.3,46.6,15.0,308.0,33.3,5.696,5.144E-03,Right,Fly Out,0,-0.289,
208.80101,83.8,32.4,29.9,343.0,34.7,5.018,5.144E-03,Left,Fly Out,0,-0.289,
208.80775,88.1,34.7,-1.8,343.4,2.2,5.296,5.144E-03,Right,Fly Out,0,-0.289,
208.82689,92.0,24.0,12.8,328.9,25.6,4.008,5.144E-03,Right,Fly Out,0,-0.289,
208.84832,89.4,33.7,-7.5,366.8,-9.5,5.656,5.144E-03,Right,Fly Out,0,-0.289,
208.85850,68.9,40.2,23.5,228.1,34.5,4.221,5.144E-03,Right,Fly Out,0,-0.289,
208.88007,75.8,24.7,0.4,280.7,3.6,3.803,5.144E-03,Right,Fly Out,0,-0.289,
209.90365,73.4,31.9,-22.6,247.9,-36.7,3.897,5.280E-03,Left,Fly Out,0,-0.289,
210.81525,79.2,35.3,14.9,269.5,30.5,4.584,5.221E-03,Right,Fly Out,0,-0.289,
210.82650,76.2,34.9,4.0,259.3,12.4,4.586,5.221E-03,Right,Fly Out,0,-0.289,
210.83461,89.0,31.4,9.4,334.0,19.8,5.105,5.221E-03,Right,Fly Out,0,-0.289,
210.85554,91.7,24.0,0.9,356.8,5.9,4.450,5.221E-03,Right,Fly Out,0,-0.289,
210.86858,79.2,42.7,32.5,266.1,46.7,4.617,5.221E-03,Right,Fly Out,0,-0.289,
210.86957,76.7,34.0,12.7,269.3,24.8,4.500,5.221E-03,Right,Fly Out,0,-0.289,
210.88181,93.2,33.5,-25.1,371.5,-32.6,5.356,5.221E-03,Right,Fly Out,0,-0.289,
210.91483,81.7,24.6,-8.7,300.6,-17.9,3.900,5.221E-03,Left,Fly Out,0,-0.289,
210.95101,90.6,21.4,-2.9,335.2,-14.2,4.173,5.221E-03,Left,Fly Out,0,-0.289,
