pl,vt,old,new
Curt Schilling,Jack Curry,1,1
Mike Piazza,Jack Curry,1,1
Lee Smith,Jack Curry,0,0
Barry Bonds,Jack Curry,0,0
Jeff Kent,Jack Curry,0,1
Edgar Martinez,Jack Curry,1,1
Jeff Bagwell,Jack Curry,1,1
Mark McGwire,Jack Curry,0,0
Tim Raines,Jack Curry,1,1
Nomar Garciaparra,Jack Curry,0,0
Mike Mussina,Jack Curry,1,1
Gary Sheffield,Jack Curry,0,0
Fred McGriff,Jack Curry,0,0
Alan Trammell,Jack Curry,0,1
Sammy Sosa,Jack Curry,0,0
Larry Walker,Jack McCaffery,0,0
Roger Clemens,Jack McCaffery,1,1
Curt Schilling,Jack McCaffery,0,0
Mike Piazza,Jack McCaffery,1,1
Lee Smith,Jack McCaffery,0,1
Barry Bonds,Jack McCaffery,1,1
Jeff Kent,Jack McCaffery,0,0
Edgar Martinez,Jack McCaffery,0,0
Jeff Bagwell,Jack McCaffery,0,1
Mark McGwire,Jack McCaffery,1,1
Tim Raines,Jack McCaffery,0,0
Nomar Garciaparra,Jack McCaffery,0,0
Mike Mussina,Jack McCaffery,0,0
Gary Sheffield,Jack McCaffery,0,0
Fred McGriff,Jack McCaffery,0,0
Alan Trammell,Jack McCaffery,1,1
Sammy Sosa,Jack McCaffery,0,0
Larry Walker,Jay Dunn,0,0
Roger Clemens,Jay Dunn,0,0
Curt Schilling,Jay Dunn,1,1
Mike Piazza,Jay Dunn,1,1
Lee Smith,Jay Dunn,1,1
Barry Bonds,Jay Dunn,0,0
Jeff Kent,Jay Dunn,0,0
Edgar Martinez,Jay Dunn,0,1
Jeff Bagwell,Jay Dunn,0,1
Mark McGwire,Jay Dunn,0,0
Tim Raines,Jay Dunn,0,1
Nomar Garciaparra,Jay Dunn,1,1
Mike Mussina,Jay Dunn,0,0
Gary Sheffield,Jay Dunn,1,0
Fred McGriff,Jay Dunn,1,1
Alan Trammell,Jay Dunn,0,0
Sammy Sosa,Jay Dunn,0,0
Larry Walker,Jay Greenberg,0,0
Roger Clemens,Jay Greenberg,0,0
Curt Schilling,Jay Greenberg,1,1
Mike Piazza,Jay Greenberg,1,1
Lee Smith,Jay Greenberg,1,1
Barry Bonds,Jay Greenberg,0,0
Jeff Kent,Jay Greenberg,0,0
Edgar Martinez,Jay Greenberg,1,1
Jeff Bagwell,Jay Greenberg,0,1
Mark McGwire,Jay Greenberg,0,0
Tim Raines,Jay Greenberg,1,1
Nomar Garciaparra,Jay Greenberg,0,0
Mike Mussina,Jay Greenberg,0,0
Gary Sheffield,Jay Greenberg,0,0
Fred McGriff,Jay Greenberg,0,0
Alan Trammell,Jay Greenberg,1,1
Sammy Sosa,Jay Greenberg,0,0
Larry Walker,Jeff Jacobs,0,0
Roger Clemens,Jeff Jacobs,0,0
Curt Schilling,Jeff Jacobs,1,1
Mike Piazza,Jeff Jacobs,1,1
Lee Smith,Jeff Jacobs,0,0
Barry Bonds,Jeff Jacobs,0,0
Jeff Kent,Jeff Jacobs,0,0
Edgar Martinez,Jeff Jacobs,1,1
Jeff Bagwell,Jeff Jacobs,1,1
Mark McGwire,Jeff Jacobs,0,0
Tim Raines,Jeff Jacobs,1,1
Nomar Garciaparra,Jeff Jacobs,0,0
Mike Mussina,Jeff Jacobs,1,1
Gary Sheffield,Jeff Jacobs,0,0
Fred McGriff,Jeff Jacobs,0,0
Alan Trammell,Jeff Jacobs,0,0
Sammy Sosa,Jeff Jacobs,0,0
Larry Walker,Jeff Passan,0,0
Roger Clemens,Jeff Passan,1,1
Curt Schilling,Jeff Passan,1,1
Mike Piazza,Jeff Passan,1,1
Lee Smith,Jeff Passan,0,0
Barry Bonds,Jeff Passan,1,1
Jeff Kent,Jeff Passan,0,0
Edgar Martinez,Jeff Passan,0,1
Jeff Bagwell,Jeff Passan,1,1
Mark McGwire,Jeff Passan,0,0
Tim Raines,Jeff Passan,1,1
Nomar Garciaparra,Jeff Passan,0,0
Mike Mussina,Jeff Passan,0,1
Gary Sheffield,Jeff Passan,0,0
Fred McGriff,Jeff Passan,0,0
Alan Trammell,Jeff Passan,0,0
Sammy Sosa,Jeff Passan,0,0
Larry Walker,Jeff Schultz,0,0
Roger Clemens,Jeff Schultz,0,0
Curt Schilling,Jeff Schultz,1,0
Mike Piazza,Jeff Schultz,0,0
Lee Smith,Jeff Schultz,0,1
Barry Bonds,Jeff Schultz,0,0
Jeff Kent,Jeff Schultz,0,0
Edgar Martinez,Jeff Schultz,0,0
Jeff Bagwell,Jeff Schultz,0,0
Mark McGwire,Jeff Schultz,0,0
Tim Raines,Jeff Schultz,1,1
Nomar Garciaparra,Jeff Schultz,0,0
Mike Mussina,Jeff Schultz,0,0
Gary Sheffield,Jeff Schultz,0,0
Fred McGriff,Jeff Schultz,1,1
Alan Trammell,Jeff Schultz,1,1
Sammy Sosa,Jeff Schultz,0,0
Larry Walker,Jeffrey Flanagan,0,0
Roger Clemens,Jeffrey Flanagan,1,1
Curt Schilling,Jeffrey Flanagan,0,0
Mike Piazza,Jeffrey Flanagan,1,1
Lee Smith,Jeffrey Flanagan,1,1
Barry Bonds,Jeffrey Flanagan,1,1
Jeff Kent,Jeffrey Flanagan,0,0
Edgar Martinez,Jeffrey Flanagan,0,0
Jeff Bagwell,Jeffrey Flanagan,0,1
Mark McGwire,Jeffrey Flanagan,1,1
Tim Raines,Jeffrey Flanagan,1,1
Nomar Garciaparra,Jeffrey Flanagan,0,0
Mike Mussina,Jeffrey Flanagan,0,0
Gary Sheffield,Jeffrey Flanagan,0,0
Fred McGriff,Jeffrey Flanagan,0,0
Alan Trammell,Jeffrey Flanagan,0,0
Sammy Sosa,Jeffrey Flanagan,1,1
Larry Walker,Jerry Crasnick,0,0
Roger Clemens,Jerry Crasnick,0,1
Curt Schilling,Jerry Crasnick,1,1
Mike Piazza,Jerry Crasnick,1,1
Lee Smith,Jerry Crasnick,0,0
Barry Bonds,Jerry Crasnick,0,1
Jeff Kent,Jerry Crasnick,0,0
Edgar Martinez,Jerry Crasnick,1,1
Jeff Bagwell,Jerry Crasnick,1,1
Mark McGwire,Jerry Crasnick,0,0
Tim Raines,Jerry Crasnick,1,1
Nomar Garciaparra,Jerry Crasnick,0,0
Mike Mussina,Jerry Crasnick,1,1
Gary Sheffield,Jerry Crasnick,0,0
Fred McGriff,Jerry Crasnick,0,0
Alan Trammell,Jerry Crasnick,0,0
Sammy Sosa,Jerry Crasnick,0,0
Larry Walker,Jerry Green,0,0
Roger Clemens,Jerry Green,1,1
Curt Schilling,Jerry Green,0,0
Mike Piazza,Jerry Green,1,1
Lee Smith,Jerry Green,0,0
Barry Bonds,Jerry Green,0,1
Jeff Kent,Jerry Green,0,0
Edgar Martinez,Jerry Green,1,1
Jeff Bagwell,Jerry Green,0,1
Mark McGwire,Jerry Green,1,1
Tim Raines,Jerry Green,1,1
Nomar Garciaparra,Jerry Green,0,0
Mike Mussina,Jerry Green,0,0
Gary Sheffield,Jerry Green,1,1
Fred McGriff,Jerry Green,0,0
Alan Trammell,Jerry Green,1,1
Sammy Sosa,Jerry Green,0,0
Larry Walker,Joe Haakenson,0,0
Roger Clemens,Joe Haakenson,0,0
Curt Schilling,Joe Haakenson,1,1
Mike Piazza,Joe Haakenson,1,1
Lee Smith,Joe Haakenson,0,1
Barry Bonds,Joe Haakenson,0,0
Jeff Kent,Joe Haakenson,0,0
Edgar Martinez,Joe Haakenson,0,1
Jeff Bagwell,Joe Haakenson,1,1
Mark McGwire,Joe Haakenson,0,0
Tim Raines,Joe Haakenson,1,1
Nomar Garciaparra,Joe Haakenson,0,0
Mike Mussina,Joe Haakenson,0,0
Gary Sheffield,Joe Haakenson,0,0
Fred McGriff,Joe Haakenson,1,1
Alan Trammell,Joe Haakenson,1,1
Sammy Sosa,Joe Haakenson,0,0
Larry Walker,Joe Henderson,0,0
Roger Clemens,Joe Henderson,1,1
Curt Schilling,Joe Henderson,0,1
Mike Piazza,Joe Henderson,1,1
Lee Smith,Joe Henderson,0,0
Barry Bonds,Joe Henderson,1,1
Jeff Kent,Joe Henderson,0,0
Edgar Martinez,Joe Henderson,0,0
Jeff Bagwell,Joe Henderson,1,1
Mark McGwire,Joe Henderson,0,0
Tim Raines,Joe Henderson,0,1
Nomar Garciaparra,Joe Henderson,0,0
Mike Mussina,Joe Henderson,0,1
Gary Sheffield,Joe Henderson,0,0
Fred McGriff,Joe Henderson,0,1
Alan Trammell,Joe Henderson,0,0
Sammy Sosa,Joe Henderson,0,0
Larry Walker,John Altavilla,0,0
Roger Clemens,John Altavilla,0,0
Curt Schilling,John Altavilla,0,0
Mike Piazza,John Altavilla,1,1
Lee Smith,John Altavilla,0,1
Barry Bonds,John Altavilla,0,0
Jeff Kent,John Altavilla,0,0
Edgar Martinez,John Altavilla,1,1
Jeff Bagwell,John Altavilla,0,0
Mark McGwire,John Altavilla,0,0
Tim Raines,John Altavilla,0,1
Nomar Garciaparra,John Altavilla,0,0
Mike Mussina,John Altavilla,0,0
Gary Sheffield,John Altavilla,0,0
Fred McGriff,John Altavilla,0,0
Alan Trammell,John Altavilla,0,0
Sammy Sosa,John Altavilla,0,0
Larry Walker,John Delcos,0,0
Roger Clemens,John Delcos,0,0
Curt Schilling,John Delcos,0,0
Mike Piazza,John Delcos,1,1
Lee Smith,John Delcos,1,1
Barry Bonds,John Delcos,0,0
Jeff Kent,John Delcos,0,0
Edgar Martinez,John Delcos,1,1
Jeff Bagwell,John Delcos,1,1
Mark McGwire,John Delcos,0,0
Tim Raines,John Delcos,1,1
Nomar Garciaparra,John Delcos,0,0
Mike Mussina,John Delcos,1,1
Gary Sheffield,John Delcos,0,0
Fred McGriff,John Delcos,0,1
Alan Trammell,John Delcos,0,0
Sammy Sosa,John Delcos,0,0
Larry Walker,John Harper,0,0
Roger Clemens,John Harper,0,0
Curt Schilling,John Harper,1,1
Mike Piazza,John Harper,1,1
Lee Smith,John Harper,0,0
Barry Bonds,John Harper,0,0
Jeff Kent,John Harper,0,1
Edgar Martinez,John Harper,1,1
Jeff Bagwell,John Harper,1,1
Mark McGwire,John Harper,0,0
Tim Raines,John Harper,1,1
Nomar Garciaparra,John Harper,0,0
Mike Mussina,John Harper,0,0
Gary Sheffield,John Harper,0,1
Fred McGriff,John Harper,0,0
Alan Trammell,John Harper,1,1
Sammy Sosa,John Harper,0,0
Larry Walker,John Tomase,0,0
Roger Clemens,John Tomase,1,1
Curt Schilling,John Tomase,1,1
Mike Piazza,John Tomase,1,1
Lee Smith,John Tomase,0,0
Barry Bonds,John Tomase,1,1
Jeff Kent,John Tomase,0,0
Edgar Martinez,John Tomase,0,1
Jeff Bagwell,John Tomase,0,1
Mark McGwire,John Tomase,1,1
Tim Raines,John Tomase,0,0
Nomar Garciaparra,John Tomase,0,0
Mike Mussina,John Tomase,0,0
Gary Sheffield,John Tomase,1,1
Fred McGriff,John Tomase,0,0
Alan Trammell,John Tomase,1,1
Sammy Sosa,John Tomase,0,0
Larry Walker,Jon Heyman,0,0
Roger Clemens,Jon Heyman,0,0
Curt Schilling,Jon Heyman,1,1
Mike Piazza,Jon Heyman,0,0
Lee Smith,Jon Heyman,0,0
Barry Bonds,Jon Heyman,0,1
Jeff Kent,Jon Heyman,0,0
Edgar Martinez,Jon Heyman,0,0
Jeff Bagwell,Jon Heyman,0,0
Mark McGwire,Jon Heyman,0,0
Tim Raines,Jon Heyman,1,1
Nomar Garciaparra,Jon Heyman,0,0
Mike Mussina,Jon Heyman,0,1
Gary Sheffield,Jon Heyman,0,0
Fred McGriff,Jon Heyman,1,1
Alan Trammell,Jon Heyman,1,1
Sammy Sosa,Jon Heyman,0,0
Larry Walker,Jose de Jesus Ortiz,0,0
Roger Clemens,Jose de Jesus Ortiz,1,1
Curt Schilling,Jose de Jesus Ortiz,0,0
Mike Piazza,Jose de Jesus Ortiz,1,1
Lee Smith,Jose de Jesus Ortiz,0,1
Barry Bonds,Jose de Jesus Ortiz,1,1
Jeff Kent,Jose de Jesus Ortiz,1,1
Edgar Martinez,Jose de Jesus Ortiz,0,0
Jeff Bagwell,Jose de Jesus Ortiz,1,1
Mark McGwire,Jose de Jesus Ortiz,0,0
Tim Raines,Jose de Jesus Ortiz,1,1
Nomar Garciaparra,Jose de Jesus Ortiz,0,0
Mike Mussina,Jose de Jesus Ortiz,0,0
Gary Sheffield,Jose de Jesus Ortiz,0,0
Fred McGriff,Jose de Jesus Ortiz,0,0
Alan Trammell,Jose de Jesus Ortiz,0,0
Sammy Sosa,Jose de Jesus Ortiz,0,0
Larry Walker,Josh Dubow,0,0
Roger Clemens,Josh Dubow,1,1
Curt Schilling,Josh Dubow,1,1
Mike Piazza,Josh Dubow,1,1
Lee Smith,Josh Dubow,0,0
Barry Bonds,Josh Dubow,1,1
Jeff Kent,Josh Dubow,0,0
Edgar Martinez,Josh Dubow,0,1
Jeff Bagwell,Josh Dubow,1,1
Mark McGwire,Josh Dubow,0,0
Tim Raines,Josh Dubow,1,1
Nomar Garciaparra,Josh Dubow,0,0
Mike Mussina,Josh Dubow,0,1
Gary Sheffield,Josh Dubow,0,0
Fred McGriff,Josh Dubow,0,0
Alan Trammell,Josh Dubow,0,1
Sammy Sosa,Josh Dubow,0,0
Larry Walker,Juan Vene,0,0
Roger Clemens,Juan Vene,0,0
Curt Schilling,Juan Vene,0,0
Mike Piazza,Juan Vene,0,1
Lee Smith,Juan Vene,1,1
Barry Bonds,Juan Vene,0,0
Jeff Kent,Juan Vene,0,0
Edgar Martinez,Juan Vene,0,0
Jeff Bagwell,Juan Vene,0,0
Mark McGwire,Juan Vene,0,0
Tim Raines,Juan Vene,0,0
Nomar Garciaparra,Juan Vene,0,0
Mike Mussina,Juan Vene,0,0
Gary Sheffield,Juan Vene,0,0
Fred McGriff,Juan Vene,1,0
Alan Trammell,Juan Vene,0,0
Sammy Sosa,Juan Vene,0,0
Larry Walker,Ken Davidoff,1,1
Roger Clemens,Ken Davidoff,1,1
Curt Schilling,Ken Davidoff,1,1
Mike Piazza,Ken Davidoff,1,1
Lee Smith,Ken Davidoff,0,0
Barry Bonds,Ken Davidoff,1,1
Jeff Kent,Ken Davidoff,0,0
Edgar Martinez,Ken Davidoff,0,1
Jeff Bagwell,Ken Davidoff,1,1
Mark McGwire,Ken Davidoff,0,0
Tim Raines,Ken Davidoff,0,0
Nomar Garciaparra,Ken Davidoff,0,0
Mike Mussina,Ken Davidoff,1,1
Gary Sheffield,Ken Davidoff,0,0
Fred McGriff,Ken Davidoff,0,0
Alan Trammell,Ken Davidoff,1,1
Sammy Sosa,Ken Davidoff,0,0
Larry Walker,Ken Rosenthal,0,0
Roger Clemens,Ken Rosenthal,0,1
Curt Schilling,Ken Rosenthal,1,1
Mike Piazza,Ken Rosenthal,1,1
Lee Smith,Ken Rosenthal,0,0
Barry Bonds,Ken Rosenthal,0,1
Jeff Kent,Ken Rosenthal,0,0
Edgar Martinez,Ken Rosenthal,1,1
Jeff Bagwell,Ken Rosenthal,1,1
Mark McGwire,Ken Rosenthal,0,0
Tim Raines,Ken Rosenthal,1,1
Nomar Garciaparra,Ken Rosenthal,0,0
Mike Mussina,Ken Rosenthal,1,1
Gary Sheffield,Ken Rosenthal,0,0
Fred McGriff,Ken Rosenthal,0,0
Alan Trammell,Ken Rosenthal,0,0
Sammy Sosa,Ken Rosenthal,0,0
Larry Walker,Kevin Cooney,0,0
Roger Clemens,Kevin Cooney,0,0
Curt Schilling,Kevin Cooney,1,1
Mike Piazza,Kevin Cooney,1,1
Lee Smith,Kevin Cooney,0,1
Barry Bonds,Kevin Cooney,0,0
Jeff Kent,Kevin Cooney,0,0
Edgar Martinez,Kevin Cooney,0,0
Jeff Bagwell,Kevin Cooney,1,1
Mark McGwire,Kevin Cooney,0,0
Tim Raines,Kevin Cooney,1,1
Nomar Garciaparra,Kevin Cooney,0,0
Mike Mussina,Kevin Cooney,1,1
Gary Sheffield,Kevin Cooney,0,0
Fred McGriff,Kevin Cooney,0,1
Alan Trammell,Kevin Cooney,0,0
Sammy Sosa,Kevin Cooney,0,0
Larry Walker,Larry Stone,0,0
Roger Clemens,Larry Stone,1,1
Curt Schilling,Larry Stone,0,1
Mike Piazza,Larry Stone,1,1
Lee Smith,Larry Stone,0,0
Barry Bonds,Larry Stone,1,1
Jeff Kent,Larry Stone,0,0
Edgar Martinez,Larry Stone,1,1
Jeff Bagwell,Larry Stone,1,1
Mark McGwire,Larry Stone,0,0
Tim Raines,Larry Stone,1,1
Nomar Garciaparra,Larry Stone,0,0
Mike Mussina,Larry Stone,0,1
Gary Sheffield,Larry Stone,0,0
Fred McGriff,Larry Stone,0,0
Alan Trammell,Larry Stone,0,1
Sammy Sosa,Larry Stone,0,0
Larry Walker,Lyle Spencer,0,1
Roger Clemens,Lyle Spencer,0,0
Curt Schilling,Lyle Spencer,1,1
Mike Piazza,Lyle Spencer,1,1
Lee Smith,Lyle Spencer,0,0
Barry Bonds,Lyle Spencer,0,0
Jeff Kent,Lyle Spencer,0,0
Edgar Martinez,Lyle Spencer,0,0
Jeff Bagwell,Lyle Spencer,0,1
Mark McGwire,Lyle Spencer,0,0
Tim Raines,Lyle Spencer,1,1
Nomar Garciaparra,Lyle Spencer,0,0
Mike Mussina,Lyle Spencer,1,1
Gary Sheffield,Lyle Spencer,0,0
Fred McGriff,Lyle Spencer,1,1
Alan Trammell,Lyle Spencer,1,1
Sammy Sosa,Lyle Spencer,0,0
Larry Walker,Marc Lancaster,1,0
Roger Clemens,Marc Lancaster,0,1
Curt Schilling,Marc Lancaster,1,1
Mike Piazza,Marc Lancaster,1,1
Lee Smith,Marc Lancaster,0,0
Barry Bonds,Marc Lancaster,0,1
Jeff Kent,Marc Lancaster,0,0
Edgar Martinez,Marc Lancaster,1,1
Jeff Bagwell,Marc Lancaster,1,1
Mark McGwire,Marc Lancaster,0,0
Tim Raines,Marc Lancaster,0,1
Nomar Garciaparra,Marc Lancaster,0,0
Mike Mussina,Marc Lancaster,0,0
Gary Sheffield,Marc Lancaster,0,0
Fred McGriff,Marc Lancaster,0,0
Alan Trammell,Marc Lancaster,1,1
Sammy Sosa,Marc Lancaster,0,0
Larry Walker,Marc Topkin,0,0
Roger Clemens,Marc Topkin,1,1
Curt Schilling,Marc Topkin,0,0
Mike Piazza,Marc Topkin,1,1
Lee Smith,Marc Topkin,0,1
Barry Bonds,Marc Topkin,1,1
Jeff Kent,Marc Topkin,0,0
Edgar Martinez,Marc Topkin,0,0
Jeff Bagwell,Marc Topkin,1,1
Mark McGwire,Marc Topkin,0,1
Tim Raines,Marc Topkin,0,0
Nomar Garciaparra,Marc Topkin,0,0
Mike Mussina,Marc Topkin,0,0
Gary Sheffield,Marc Topkin,1,1
Fred McGriff,Marc Topkin,1,1
Alan Trammell,Marc Topkin,0,0
Sammy Sosa,Marc Topkin,0,0
Larry Walker,Mark Faller,0,0
Roger Clemens,Mark Faller,0,0
Curt Schilling,Mark Faller,1,1
Mike Piazza,Mark Faller,1,1
Lee Smith,Mark Faller,0,0
Barry Bonds,Mark Faller,0,0
Jeff Kent,Mark Faller,0,0
Edgar Martinez,Mark Faller,1,1
Jeff Bagwell,Mark Faller,1,1
Mark McGwire,Mark Faller,0,0
Tim Raines,Mark Faller,1,1
Nomar Garciaparra,Mark Faller,0,0
Mike Mussina,Mark Faller,1,1
Gary Sheffield,Mark Faller,0,0
Fred McGriff,Mark Faller,0,0
Alan Trammell,Mark Faller,0,0
Sammy Sosa,Mark Faller,0,0
Larry Walker,Mark Gonzales,0,0
Roger Clemens,Mark Gonzales,0,0
Curt Schilling,Mark Gonzales,0,0
Mike Piazza,Mark Gonzales,1,1
Lee Smith,Mark Gonzales,0,0
Barry Bonds,Mark Gonzales,0,0
Jeff Kent,Mark Gonzales,1,1
Edgar Martinez,Mark Gonzales,1,1
Jeff Bagwell,Mark Gonzales,1,1
Mark McGwire,Mark Gonzales,0,0
Tim Raines,Mark Gonzales,1,1
Nomar Garciaparra,Mark Gonzales,0,0
Mike Mussina,Mark Gonzales,0,0
Gary Sheffield,Mark Gonzales,0,0
Fred McGriff,Mark Gonzales,0,0
Alan Trammell,Mark Gonzales,0,0
Sammy Sosa,Mark Gonzales,0,0
Larry Walker,Mark Hale,0,0
Roger Clemens,Mark Hale,1,1
Curt Schilling,Mark Hale,1,1
Mike Piazza,Mark Hale,1,1
Lee Smith,Mark Hale,0,0
Barry Bonds,Mark Hale,1,1
Jeff Kent,Mark Hale,0,0
Edgar Martinez,Mark Hale,0,1
Jeff Bagwell,Mark Hale,1,1
Mark McGwire,Mark Hale,0,1
Tim Raines,Mark Hale,0,0
Nomar Garciaparra,Mark Hale,0,0
Mike Mussina,Mark Hale,1,1
Gary Sheffield,Mark Hale,0,0
Fred McGriff,Mark Hale,0,0
Alan Trammell,Mark Hale,0,0
Sammy Sosa,Mark Hale,0,0
Larry Walker,Mark Herrmann,0,0
Roger Clemens,Mark Herrmann,0,0
Curt Schilling,Mark Herrmann,0,0
Mike Piazza,Mark Herrmann,1,1
Lee Smith,Mark Herrmann,0,0
Barry Bonds,Mark Herrmann,0,0
Jeff Kent,Mark Herrmann,0,0
Edgar Martinez,Mark Herrmann,0,0
Jeff Bagwell,Mark Herrmann,0,0
Mark McGwire,Mark Herrmann,0,0
Tim Raines,Mark Herrmann,0,0
Nomar Garciaparra,Mark Herrmann,0,0
Mike Mussina,Mark Herrmann,0,0
Gary Sheffield,Mark Herrmann,0,0
Fred McGriff,Mark Herrmann,0,0
Alan Trammell,Mark Herrmann,0,0
Sammy Sosa,Mark Herrmann,0,0
Larry Walker,Mark Kreidler,0,0
Roger Clemens,Mark Kreidler,0,0
Curt Schilling,Mark Kreidler,0,0
Mike Piazza,Mark Kreidler,0,0
Lee Smith,Mark Kreidler,0,0
Barry Bonds,Mark Kreidler,0,0
Jeff Kent,Mark Kreidler,0,0
Edgar Martinez,Mark Kreidler,0,0
Jeff Bagwell,Mark Kreidler,0,0
Mark McGwire,Mark Kreidler,0,0
Tim Raines,Mark Kreidler,0,1
Nomar Garciaparra,Mark Kreidler,0,0
Mike Mussina,Mark Kreidler,0,0
Gary Sheffield,Mark Kreidler,0,0
Fred McGriff,Mark Kreidler,0,0
Alan Trammell,Mark Kreidler,0,0
Sammy Sosa,Mark Kreidler,0,0
Larry Walker,Mark Newman,0,0
Roger Clemens,Mark Newman,1,1
Curt Schilling,Mark Newman,0,0
Mike Piazza,Mark Newman,1,1
Lee Smith,Mark Newman,0,0
Barry Bonds,Mark Newman,1,1
Jeff Kent,Mark Newman,0,0
Edgar Martinez,Mark Newman,0,0
Jeff Bagwell,Mark Newman,0,0
Mark McGwire,Mark Newman,0,0
Tim Raines,Mark Newman,0,0
Nomar Garciaparra,Mark Newman,0,0
Mike Mussina,Mark Newman,0,0
Gary Sheffield,Mark Newman,0,0
Fred McGriff,Mark Newman,0,0
Alan Trammell,Mark Newman,0,0
Sammy Sosa,Mark Newman,0,0
Larry Walker,Marty Noble,0,0
Roger Clemens,Marty Noble,0,0
Curt Schilling,Marty Noble,0,0
Mike Piazza,Marty Noble,0,0
Lee Smith,Marty Noble,0,0
Barry Bonds,Marty Noble,0,0
Jeff Kent,Marty Noble,0,1
Edgar Martinez,Marty Noble,0,0
Jeff Bagwell,Marty Noble,0,0
Mark McGwire,Marty Noble,0,0
Tim Raines,Marty Noble,0,0
Nomar Garciaparra,Marty Noble,0,0
Mike Mussina,Marty Noble,0,0
Gary Sheffield,Marty Noble,0,0
Fred McGriff,Marty Noble,0,0
Alan Trammell,Marty Noble,0,0
Sammy Sosa,Marty Noble,0,0
Larry Walker,Mel Antonen,0,0
Roger Clemens,Mel Antonen,0,0
Curt Schilling,Mel Antonen,0,0
Mike Piazza,Mel Antonen,1,1
Lee Smith,Mel Antonen,0,1
Barry Bonds,Mel Antonen,0,0
Jeff Kent,Mel Antonen,0,0
Edgar Martinez,Mel Antonen,1,1
Jeff Bagwell,Mel Antonen,1,1
Mark McGwire,Mel Antonen,0,0
Tim Raines,Mel Antonen,1,1
Nomar Garciaparra,Mel Antonen,0,0
Mike Mussina,Mel Antonen,1,1
Gary Sheffield,Mel Antonen,0,0
Fred McGriff,Mel Antonen,0,1
Alan Trammell,Mel Antonen,1,1
Sammy Sosa,Mel Antonen,0,0
Larry Walker,Michael Silverman,0,0
Roger Clemens,Michael Silverman,1,1
Curt Schilling,Michael Silverman,1,1
Mike Piazza,Michael Silverman,1,1
Lee Smith,Michael Silverman,0,0
Barry Bonds,Michael Silverman,1,1
Jeff Kent,Michael Silverman,0,0
Edgar Martinez,Michael Silverman,0,1
Jeff Bagwell,Michael Silverman,1,1
Mark McGwire,Michael Silverman,0,1
Tim Raines,Michael Silverman,1,1
Nomar Garciaparra,Michael Silverman,0,0
Mike Mussina,Michael Silverman,1,1
Gary Sheffield,Michael Silverman,0,0
Fred McGriff,Michael Silverman,0,0
Alan Trammell,Michael Silverman,0,0
Sammy Sosa,Michael Silverman,0,0
Larry Walker,Mike Bass,0,0
Roger Clemens,Mike Bass,0,0
Curt Schilling,Mike Bass,1,1
Mike Piazza,Mike Bass,1,1
Lee Smith,Mike Bass,0,0
Barry Bonds,Mike Bass,0,0
Jeff Kent,Mike Bass,1,1
Edgar Martinez,Mike Bass,1,1
Jeff Bagwell,Mike Bass,1,1
Mark McGwire,Mike Bass,0,0
Tim Raines,Mike Bass,0,0
Nomar Garciaparra,Mike Bass,0,0
Mike Mussina,Mike Bass,1,1
Gary Sheffield,Mike Bass,0,0
Fred McGriff,Mike Bass,0,0
Alan Trammell,Mike Bass,0,0
Sammy Sosa,Mike Bass,0,0
Larry Walker,Mike Bauman,0,0
Roger Clemens,Mike Bauman,0,0
Curt Schilling,Mike Bauman,0,0
Mike Piazza,Mike Bauman,1,1
Lee Smith,Mike Bauman,1,1
Barry Bonds,Mike Bauman,0,0
Jeff Kent,Mike Bauman,0,0
Edgar Martinez,Mike Bauman,0,0
Jeff Bagwell,Mike Bauman,1,1
Mark McGwire,Mike Bauman,0,0
Tim Raines,Mike Bauman,0,0
Nomar Garciaparra,Mike Bauman,0,0
Mike Mussina,Mike Bauman,0,0
Gary Sheffield,Mike Bauman,0,0
Fred McGriff,Mike Bauman,0,0
Alan Trammell,Mike Bauman,0,0
Sammy Sosa,Mike Bauman,0,0
Larry Walker,Mike Berardino,1,1
Roger Clemens,Mike Berardino,0,0
Curt Schilling,Mike Berardino,1,1
Mike Piazza,Mike Berardino,1,1
Lee Smith,Mike Berardino,0,0
Barry Bonds,Mike Berardino,0,0
Jeff Kent,Mike Berardino,0,0
Edgar Martinez,Mike Berardino,1,1
Jeff Bagwell,Mike Berardino,1,1
Mark McGwire,Mike Berardino,0,0
Tim Raines,Mike Berardino,1,1
Nomar Garciaparra,Mike Berardino,0,0
Mike Mussina,Mike Berardino,1,1
Gary Sheffield,Mike Berardino,0,0
Fred McGriff,Mike Berardino,0,0
Alan Trammell,Mike Berardino,1,1
Sammy Sosa,Mike Berardino,0,0
Larry Walker,Mike Imrem,0,0
Roger Clemens,Mike Imrem,1,1
Curt Schilling,Mike Imrem,1,1
Mike Piazza,Mike Imrem,1,1
Lee Smith,Mike Imrem,0,0
Barry Bonds,Mike Imrem,1,1
Jeff Kent,Mike Imrem,0,0
Edgar Martinez,Mike Imrem,0,0
Jeff Bagwell,Mike Imrem,1,1
Mark McGwire,Mike Imrem,1,1
Tim Raines,Mike Imrem,0,1
Nomar Garciaparra,Mike Imrem,0,0
Mike Mussina,Mike Imrem,0,0
Gary Sheffield,Mike Imrem,0,0
Fred McGriff,Mike Imrem,0,0
Alan Trammell,Mike Imrem,0,0
Sammy Sosa,Mike Imrem,1,1
Larry Walker,Mike Nadel,0,0
Roger Clemens,Mike Nadel,0,0
