pl,vt,old,new
Gary Sheffield,Bill Ballou,0,0
Fred McGriff,Bill Ballou,0,0
Alan Trammell,Bill Ballou,0,0
Sammy Sosa,Bill Ballou,0,0
Larry Walker,Bob Hertzel,0,1
Roger Clemens,Bob Hertzel,1,1
Curt Schilling,Bob Hertzel,0,0
Mike Piazza,Bob Hertzel,0,1
Lee Smith,Bob Hertzel,0,0
Barry Bonds,Bob Hertzel,1,1
Jeff Kent,Bob Hertzel,0,0
Edgar Martinez,Bob Hertzel,0,0
Jeff Bagwell,Bob Hertzel,0,0
Mark McGwire,Bob Hertzel,0,0
Tim Raines,Bob Hertzel,1,1
Nomar Garciaparra,Bob Hertzel,0,0
Mike Mussina,Bob Hertzel,0,0
Gary Sheffield,Bob Hertzel,0,0
Fred McGriff,Bob Hertzel,0,0
Alan Trammell,Bob Hertzel,0,0
Sammy Sosa,Bob Hertzel,0,0
Larry Walker,Bob Herzog,0,0
Roger Clemens,Bob Herzog,1,1
Curt Schilling,Bob Herzog,0,0
Mike Piazza,Bob Herzog,1,1
Lee Smith,Bob Herzog,0,0
Barry Bonds,Bob Herzog,1,1
Jeff Kent,Bob Herzog,0,0
Edgar Martinez,Bob Herzog,1,1
Jeff Bagwell,Bob Herzog,0,1
Mark McGwire,Bob Herzog,0,0
Tim Raines,Bob Herzog,1,1
Nomar Garciaparra,Bob Herzog,0,0
Mike Mussina,Bob Herzog,1,1
Gary Sheffield,Bob Herzog,0,0
Fred McGriff,Bob Herzog,0,0
Alan Trammell,Bob Herzog,0,0
Sammy Sosa,Bob Herzog,0,0
Larry Walker,Bob Hohler,0,0
Roger Clemens,Bob Hohler,0,0
Curt Schilling,Bob Hohler,1,1
Mike Piazza,Bob Hohler,1,1
Lee Smith,Bob Hohler,0,0
Barry Bonds,Bob Hohler,0,0
Jeff Kent,Bob Hohler,0,0
Edgar Martinez,Bob Hohler,0,0
Jeff Bagwell,Bob Hohler,1,1
Mark McGwire,Bob Hohler,0,0
Tim Raines,Bob Hohler,1,1
Nomar Garciaparra,Bob Hohler,0,0
Mike Mussina,Bob Hohler,0,1
Gary Sheffield,Bob Hohler,0,0
Fred McGriff,Bob Hohler,0,0
Alan Trammell,Bob Hohler,0,0
Sammy Sosa,Bob Hohler,0,0
Larry Walker,Bob Klapisch,0,0
Roger Clemens,Bob Klapisch,1,1
Curt Schilling,Bob Klapisch,0,1
Mike Piazza,Bob Klapisch,1,1
Lee Smith,Bob Klapisch,0,0
Barry Bonds,Bob Klapisch,1,1
Jeff Kent,Bob Klapisch,0,0
Edgar Martinez,Bob Klapisch,0,1
Jeff Bagwell,Bob Klapisch,1,1
Mark McGwire,Bob Klapisch,0,0
