idx,rank,player,war
9,58,Johnny Mize,60.2
9,59,Roy Halladay,60.2
9,60,Al Kaline,59.9
9,61,Adrian Beltre,59.8
9,62,Rod Carew,59.3
9,63,Bob Feller,59.1
9,64,Jackie Robinson,58.9
9,65,Dazzy Vance,58.4
9,66,Ernie Banks,58.4
9,67,Jeff Bagwell,58.4
9,68,Duke Snider,58.2
9,69,Juan Marichal,58.1
9,70,Gary Carter,57.4
9,71,Hal Newhouser,57.3
9,72,Jim Bunning,57.2
9,73,Jim Palmer,57.2
9,74,Rube Waddell,57.0
9,75,Johnny Bench,56.8
9,76,Lou Boudreau,56.7
9,77,Chipper Jones,56.7
9,78,Reggie Jackson,56.7
9,79,Chase Utley,56.4
9,80,Harry Heilmann,55.7
9,81,Carl Hubbell,55.5
9,82,Robin Yount,55.4
9,83,Frank Baker,55.4
9,84,Kevin Brown,55.0
9,85,Ken Boyer,55.0
9,86,Al Simmons,54.8
9,87,Mike Mussina,54.8
9,88,Frank Thomas,54.8
9,89,Bobby Grich,54.7
9,90,Miguel Cabrera,54.7
9,91,Andruw Jones,54.6
9,92,Pete Rose,54.6
9,93,Brooks Robinson,54.4
9,94,Don Drysdale,54.3
9,95,Hank Greenberg,54.1
9,96,Robinson Cano,54.1
9,97,Edgar Martinez,54.0
9,98,Ryne Sandberg,53.9
9,99,Luke Appling,53.9
9,100,Larry Walker,53.7
10,1,Walter Johnson,117.0
10,2,Babe Ruth,115.8
10,3,Willie Mays,100.4
10,4,Rogers Hornsby,98.6
10,5,Barry Bonds,97.9
10,6,Ted Williams,91.1
10,7,Lou Gehrig,90.9
10,8,Ty Cobb,89.8
10,9,Pete Alexander,89.7
10,10,Roger Clemens,89.2
10,11,Christy Mathewson,88.7
10,12,Lefty Grove,88.1
10,13,Honus Wagner,87.4
10,14,Alex Rodriguez,86.9
10,15,Stan Musial,86.2
10,16,Eddie Collins,84.1
10,17,Tris Speaker,83.8
10,18,Hank Aaron,83.7
10,19,Mickey Mantle,83.5
10,20,Randy Johnson,81.9
10,21,Albert Pujols,81.2
10,22,Mike Schmidt,79.7
10,23,Tom Seaver,77.7
10,24,Jimmie Foxx,77.5
10,25,Nap Lajoie,77.4
10,26,Bob Gibson,77.2
10,27,Rickey Henderson,76.0
10,28,Joe Morgan,74.9
10,29,Pedro Martinez,74.4
10,30,Cy Young,74.4
10,31,Eddie Mathews,73.8
10,32,Greg Maddux,73.3
10,33,Roberto Clemente,71.4
10,34,Mel Ott,71.2
10,35,Wade Boggs,71.2
10,36,Phil Niekro,70.9
10,37,Cal Ripken,70.3
10,38,Frank Robinson,70.3
10,39,Gaylord Perry,69.9
10,40,Carl Yastrzemski,69.7
10,41,Ken Griffey,69.6
10,42,Warren Spahn,68.9
10,43,Bert Blyleven,68.4
10,44,George Brett,68.0
10,45,Steve Carlton,68.0
10,46,Eddie Plank,67.7
10,47,Robin Roberts,67.7
10,48,Joe DiMaggio,66.2
10,49,Ron Santo,66.0
10,50,Ed Walsh,65.5
10,51,Curt Schilling,65.5
10,52,Al Kaline,65.3
10,53,Fergie Jenkins,65.2
10,54,Charlie Gehringer,65.2
10,55,Johnny Mize,65.0
10,56,Arky Vaughan,64.7
10,57,Wes Ferrell,64.0
10,58,Stan Coveleski,63.9
10,59,Adrian Beltre,63.7
10,60,Jeff Bagwell,63.2
10,61,Roy Halladay,63.2
10,62,Rod Carew,62.8
10,63,Joe Jackson,61.9
10,64,Jim Palmer,61.5
10,65,Jackie Robinson,61.5
10,66,Johnny Bench,61.4
10,67,Ernie Banks,61.2
10,68,Bob Feller,61.2
10,69,Reggie Jackson,61.1
10,70,Gary Carter,60.9
10,71,Dazzy Vance,60.9
10,72,Chipper Jones,60.7
10,73,Duke Snider,60.5
10,74,Jim Bunning,60.3
10,75,Juan Marichal,60.3
10,76,Lou Boudreau,59.8
10,77,Mike Mussina,59.8
10,78,Harry Heilmann,59.4
10,79,Pete Rose,59.4
10,80,Chase Utley,59.4
10,81,Al Simmons,59.0
10,82,Frank Baker,59.0
10,83,Hal Newhouser,58.9
10,84,Carl Hubbell,58.8
10,85,Don Drysdale,58.8
10,86,Edgar Martinez,58.8
10,87,Robin Yount,58.7
10,88,Kevin Brown,58.7
10,89,Luke Appling,58.6
10,90,Brooks Robinson,58.5
10,91,Bobby Grich,58.4
10,92,Frank Thomas,58.3
10,93,Miguel Cabrera,58.1
10,94,Larry Walker,58.0
10,95,Andruw Jones,57.8
10,96,Ken Boyer,57.5
10,97,Luis Tiant,57.3
10,98,Ozzie Smith,57.3
10,99,Ryne Sandberg,57.3
10,100,Scott Rolen,57.2
11,1,Babe Ruth,125.9
11,2,Walter Johnson,124.4
11,3,Willie Mays,108.7
11,4,Barry Bonds,105.9
11,5,Rogers Hornsby,105.3
11,6,Ted Williams,97.8
11,7,Lou Gehrig,97.8
11,8,Ty Cobb,96.5
11,9,Roger Clemens,95.3
11,10,Pete Alexander,95.1
11,11,Lefty Grove,95.1
11,12,Christy Mathewson,94.8
11,13,Honus Wagner,94.0
11,14,Alex Rodriguez,92.5
11,15,Stan Musial,92.2
11,16,Hank Aaron,91.0
11,17,Tris Speaker,90.2
11,18,Eddie Collins,89.3
11,19,Mickey Mantle,88.8
11,20,Randy Johnson,87.4
11,21,Albert Pujols,86.4
11,22,Mike Schmidt,85.9
11,23,Tom Seaver,83.2
11,24,Nap Lajoie,82.5
11,25,Jimmie Foxx,82.2
11,26,Rickey Henderson,81.7
11,27,Bob Gibson,81.4
11,28,Eddie Mathews,79.4
11,29,Joe Morgan,78.6
11,30,Greg Maddux,78.4
11,31,Pedro Martinez,78.4
11,32,Mel Ott,76.8
11,33,Roberto Clemente,76.2
11,34,Phil Niekro,75.6
11,35,Frank Robinson,75.3
11,36,Wade Boggs,75.3
11,37,Cy Young,75.2
11,38,Gaylord Perry,75.1
11,39,Warren Spahn,74.5
11,40,Cal Ripken,74.3
11,41,Carl Yastrzemski,73.7
11,42,Bert Blyleven,73.5
11,43,Ken Griffey,73.3
11,44,Eddie Plank,72.8
11,45,Steve Carlton,72.2
11,46,George Brett,72.1
11,47,Robin Roberts,71.3
11,48,Joe DiMaggio,70.8
11,49,Curt Schilling,70.4
11,50,Al Kaline,69.7
11,51,Charlie Gehringer,69.7
11,52,Ron Santo,69.0
11,53,Fergie Jenkins,68.8
11,54,Arky Vaughan,68.5
11,55,Jeff Bagwell,67.9
11,56,Adrian Beltre,67.4
11,57,Johnny Mize,67.4
11,58,Stan Coveleski,66.1
11,59,Ed Walsh,65.9
11,60,Johnny Bench,65.8
11,61,Rod Carew,65.8
11,62,Roy Halladay,65.8
11,63,Chipper Jones,64.7
11,64,Reggie Jackson,64.6
11,65,Wes Ferrell,64.6
11,66,Mike Mussina,64.4
11,67,Gary Carter,64.2
11,68,Jim Palmer,63.7
11,69,Ernie Banks,63.6
11,70,Pete Rose,63.5
11,71,Jim Bunning,63.4
11,72,Bob Feller,63.2
11,73,Harry Heilmann,63.1
11,74,Duke Snider,62.8
11,75,Joe Jackson,62.8
11,76,Luke Appling,62.8
11,77,Don Drysdale,62.6
11,78,Brooks Robinson,62.4
11,79,Juan Marichal,62.1
11,80,Edgar Martinez,62.1
11,81,Al Simmons,62.0
11,82,Dazzy Vance,62.0
11,83,Carl Hubbell,61.9
11,84,Kevin Brown,61.8
11,85,Bobby Grich,61.8
11,86,Robin Yount,61.8
11,87,Chase Utley,61.7
11,88,Jackie Robinson,61.5
11,89,Frank Thomas,61.4
11,90,Larry Walker,61.4
11,91,Frank Baker,61.4
11,92,Miguel Cabrera,61.4
11,93,Scott Rolen,61.3
11,94,Lou Boudreau,61.2
11,95,Ozzie Smith,61.0
11,96,Andruw Jones,60.8
11,97,Tom Glavine,60.7
11,98,Carlos Beltran,60.7
11,99,Alan Trammell,60.5
11,100,Richie Ashburn,60.5
12,1,Babe Ruth,134.6
12,2,Walter Johnson,131.3
12,3,Willie Mays,116.5
12,4,Barry Bonds,113.8
12,5,Rogers Hornsby,110.7
12,6,Lou Gehrig,104.6
12,7,Ted Williams,104.2
12,8,Ty Cobb,103.1
12,9,Roger Clemens,101.0
12,10,Lefty Grove,100.5
12,11,Pete Alexander,100.3
12,12,Honus Wagner,99.6
12,13,Christy Mathewson,99.2
12,14,Stan Musial,98.3
12,15,Hank Aaron,98.3
12,16,Alex Rodriguez,97.2
12,17,Tris Speaker,96.7
12,18,Eddie Collins,94.4
12,19,Mickey Mantle,93.5
12,20,Mike Schmidt,92.0
12,21,Albert Pujols,91.2
12,22,Randy Johnson,90.6
12,23,Tom Seaver,88.2
12,24,Jimmie Foxx,86.8
12,25,Rickey Henderson,86.7
12,26,Nap Lajoie,85.6
12,27,Bob Gibson,84.8
12,28,Eddie Mathews,84.8
12,29,Greg Maddux,83.0
12,30,Mel Ott,82.3
12,31,Joe Morgan,82.2
12,32,Pedro Martinez,81.4
12,33,Roberto Clemente,80.6
12,34,Frank Robinson,80.1
12,35,Phil Niekro,79.9
12,36,Warren Spahn,79.7
12,37,Gaylord Perry,79.4
12,38,Wade Boggs,79.2
12,39,Bert Blyleven,78.5
12,40,Cal Ripken,78.2
12,41,Carl Yastrzemski,77.6
12,42,Eddie Plank,77.4
12,43,Ken Griffey,76.5
12,44,Steve Carlton,76.1
12,45,George Brett,76.1
12,46,Cy Young,75.2
12,47,Joe DiMaggio,75.2
12,48,Robin Roberts,74.6
12,49,Curt Schilling,74.4
12,50,Charlie Gehringer,73.7
12,51,Al Kaline,73.0
12,52,Fergie Jenkins,72.4
12,53,Jeff Bagwell,72.0
12,54,Ron Santo,71.2
12,55,Adrian Beltre,71.0
12,56,Arky Vaughan,70.9
12,57,Johnny Bench,69.9
12,58,Johnny Mize,69.4
12,59,Mike Mussina,69.0
12,60,Chipper Jones,68.6
12,61,Rod Carew,68.5
12,62,Roy Halladay,68.1
12,63,Reggie Jackson,68.1
12,64,Pete Rose,67.5
12,65,Stan Coveleski,66.3
12,66,Ed Walsh,66.2
12,67,Luke Appling,66.2
12,68,Ernie Banks,66.0
12,69,Gary Carter,66.0
12,70,Brooks Robinson,65.9
12,71,Jim Palmer,65.9
12,72,Don Drysdale,65.8
12,73,Harry Heilmann,65.8
12,74,Edgar Martinez,65.1
12,75,Bob Feller,64.9
12,76,Jim Bunning,64.9
12,77,Carl Hubbell,64.9
12,78,Larry Walker,64.8
12,79,Wes Ferrell,64.8
12,80,Scott Rolen,64.8
12,81,Bobby Grich,64.7
12,82,Robin Yount,64.7
12,83,Ozzie Smith,64.6
12,84,Kevin Brown,64.6
12,85,Al Simmons,64.6
12,86,Paul Waner,64.4
12,87,Duke Snider,64.3
12,88,Frank Thomas,64.3
12,89,Tom Glavine,64.2
12,90,Miguel Cabrera,64.1
12,91,Juan Marichal,63.9
12,92,Alan Trammell,63.8
12,93,Carlos Beltran,63.6
12,94,Ryne Sandberg,63.6
12,95,Barry Larkin,63.2
12,96,Sam Crawford,63.2
12,97,Dazzy Vance,63.1
12,98,Nolan Ryan,62.9
12,99,Rick Reuschel,62.8
12,100,Joe Jackson,62.8
13,1,Babe Ruth,142.9
13,2,Walter Johnson,136.9
13,3,Willie Mays,124.1
13,4,Barry Bonds,121.5
13,5,Rogers Hornsby,116.0
13,6,Ted Williams,110.2
13,7,Ty Cobb,109.3
13,8,Lou Gehrig,108.9
13,9,Roger Clemens,106.6
13,10,Lefty Grove,105.6
13,11,Hank Aaron,105.4
13,12,Pete Alexander,105.2
13,13,Honus Wagner,104.8
13,14,Stan Musial,103.9
13,15,Tris Speaker,103.0
13,16,Christy Mathewson,102.5
13,17,Alex Rodriguez,101.7
13,18,Eddie Collins,99.5
13,19,Mike Schmidt,98.1
13,20,Mickey Mantle,97.4
13,21,Albert Pujols,95.1
13,22,Randy Johnson,93.6
13,23,Tom Seaver,93.0
13,24,Rickey Henderson,91.4
13,25,Jimmie Foxx,91.1
13,26,Eddie Mathews,89.4
13,27,Nap Lajoie,88.3
13,28,Mel Ott,87.6
13,29,Bob Gibson,87.5
13,30,Greg Maddux,87.1
13,31,Joe Morgan,85.8
13,32,Frank Robinson,84.9
13,33,Roberto Clemente,84.5
13,34,Warren Spahn,84.4
13,35,Phil Niekro,83.9
13,36,Pedro Martinez,83.8
13,37,Bert Blyleven,83.0
13,38,Gaylord Perry,82.6
13,39,Wade Boggs,82.6
13,40,Cal Ripken,82.0
13,41,Carl Yastrzemski,81.2
13,42,Eddie Plank,80.9
13,43,Ken Griffey,79.8
13,44,George Brett,79.4
13,45,Steve Carlton,79.0
13,46,Joe DiMaggio,78.1
13,47,Robin Roberts,77.9
13,48,Charlie Gehringer,77.5
13,49,Curt Schilling,77.0
13,50,Al Kaline,76.2
13,51,Fergie Jenkins,75.8
13,52,Jeff Bagwell,75.6
13,53,Cy Young,75.2
13,54,Adrian Beltre,74.3
13,55,Johnny Bench,73.2
13,56,Mike Mussina,72.6
13,57,Arky Vaughan,72.4
13,58,Ron Santo,72.2
13,59,Chipper Jones,72.1
13,60,Reggie Jackson,71.2
13,61,Rod Carew,71.1
13,62,Pete Rose,70.9
13,63,Johnny Mize,70.3
13,64,Brooks Robinson,69.4
13,65,Roy Halladay,69.0
13,66,Luke Appling,68.9
13,67,Harry Heilmann,68.4
13,68,Ernie Banks,67.9
13,69,Ozzie Smith,67.9
13,70,Edgar Martinez,67.7
13,71,Don Drysdale,67.7
13,72,Jim Palmer,67.6
13,73,Larry Walker,67.6
13,74,Tom Glavine,67.4
13,75,Gary Carter,67.3
13,76,Robin Yount,67.1
13,77,Carl Hubbell,67.1
13,78,Kevin Brown,66.8
13,79,Alan Trammell,66.8
13,80,Paul Waner,66.6
13,81,Bobby Grich,66.6
13,82,Frank Thomas,66.6
13,83,Bob Feller,66.6
13,84,Scott Rolen,66.6
13,85,Sam Crawford,66.5
13,86,Stan Coveleski,66.4
13,87,Ed Walsh,66.3
13,88,Al Simmons,66.1
13,89,Ryne Sandberg,65.9
13,90,Carlos Beltran,65.9
13,91,Jim Bunning,65.9
13,92,Barry Larkin,65.8
13,93,Rick Reuschel,65.7
13,94,Nolan Ryan,65.6
13,95,Duke Snider,65.5
13,96,Juan Marichal,65.3
13,97,Frankie Frisch,65.0
13,98,Wes Ferrell,64.9
13,99,Luis Tiant,64.9
13,100,Richie Ashburn,64.8
14,1,Babe Ruth,151.0
14,2,Walter Johnson,142.4
14,3,Willie Mays,130.4
14,4,Barry Bonds,129.0
14,5,Rogers Hornsby,120.8
14,6,Ty Cobb,115.1
14,7,Ted Williams,114.2
14,8,Hank Aaron,112.2
14,9,Roger Clemens,112.1
14,10,Lou Gehrig,112.0
14,11,Pete Alexander,109.8
14,12,Stan Musial,109.1
14,13,Tris Speaker,109.0
14,14,Lefty Grove,108.4
14,15,Honus Wagner,108.4
14,16,Alex Rodriguez,105.8
14,17,Eddie Collins,104.5
14,18,Christy Mathewson,103.8
14,19,Mike Schmidt,103.1
14,20,Mickey Mantle,101.0
14,21,Albert Pujols,98.2
14,22,Tom Seaver,97.4
14,23,Rickey Henderson,95.9
14,24,Randy Johnson,95.9
14,25,Jimmie Foxx,94.8
14,26,Mel Ott,92.7
14,27,Eddie Mathews,92.1
14,28,Greg Maddux,91.0
14,29,Nap Lajoie,89.9
14,30,Frank Robinson,89.6
14,31,Bob Gibson,89.3
14,32,Joe Morgan,89.2
14,33,Warren Spahn,89.1
14,34,Roberto Clemente,88.4
14,35,Phil Niekro,87.3
14,36,Bert Blyleven,87.3
14,37,Wade Boggs,85.7
14,38,Cal Ripken,85.7
14,39,Gaylord Perry,85.6
14,40,Pedro Martinez,84.8
14,41,Carl Yastrzemski,84.2
14,42,Eddie Plank,83.9
14,43,George Brett,82.2
14,44,Steve Carlton,81.9
14,45,Ken Griffey,81.7
14,46,Robin Roberts,81.0
14,47,Al Kaline,79.5
14,48,Jeff Bagwell,79.3
14,49,Charlie Gehringer,79.3
14,50,Curt Schilling,79.2
14,51,Fergie Jenkins,78.9
14,52,Joe DiMaggio,78.1
14,53,Adrian Beltre,77.6
14,54,Mike Mussina,76.0
14,55,Cy Young,75.2
14,56,Chipper Jones,74.9
14,57,Johnny Bench,74.4
14,58,Pete Rose,73.9
14,59,Rod Carew,73.5
14,60,Reggie Jackson,73.4
14,61,Arky Vaughan,72.9
14,62,Brooks Robinson,72.9
14,63,Ron Santo,72.2
14,64,Ozzie Smith,71.0
14,65,Luke Appling,70.8
14,66,Johnny Mize,70.8
14,67,Harry Heilmann,70.5
14,68,Tom Glavine,70.3
14,69,Larry Walker,69.9
14,70,Sam Crawford,69.7
14,71,Alan Trammell,69.6
14,72,Roy Halladay,69.4
14,73,Robin Yount,69.2
14,74,Carl Hubbell,69.2
14,75,Jim Palmer,69.0
14,76,Frank Thomas,68.9
14,77,Rick Reuschel,68.5
14,78,Gary Carter,68.5
14,79,Kevin Brown,68.5
14,80,Ernie Banks,68.4
14,81,Bobby Grich,68.4
14,82,Paul Waner,68.4
14,83,Edgar Martinez,68.2
14,84,Nolan Ryan,68.2
14,85,Scott Rolen,68.1
14,86,Bob Feller,68.1
14,87,Don Drysdale,67.7
14,88,Derek Jeter,67.6
14,89,Frankie Frisch,67.5
14,90,Al Simmons,67.4
14,91,Barry Larkin,67.3
14,92,Roberto Alomar,67.0
14,93,Luis Tiant,66.9
14,94,Ryne Sandberg,66.9
14,95,Carlos Beltran,66.8
14,96,Paul Molitor,66.8
14,97,Duke Snider,66.8
14,98,Jim Bunning,66.7
14,99,Manny Ramirez,66.7
14,100,Stan Coveleski,66.4
15,1,Babe Ruth,158.4
15,2,Walter Johnson,147.7
15,3,Willie Mays,136.6
15,4,Barry Bonds,135.2
15,5,Rogers Hornsby,125.3
15,6,Ty Cobb,120.7
15,7,Hank Aaron,119.0
15,8,Ted Williams,118.1
15,9,Roger Clemens,116.6
15,10,Tris Speaker,114.5
15,11,Pete Alexander,113.9
15,12,Stan Musial,113.7
15,13,Lou Gehrig,112.4
15,14,Honus Wagner,111.3
15,15,Lefty Grove,110.5
15,16,Alex Rodriguez,110.0
15,17,Eddie Collins,109.0
15,18,Mike Schmidt,105.0
15,19,Christy Mathewson,104.1
15,20,Mickey Mantle,103.9
15,21,Tom Seaver,101.4
15,22,Albert Pujols,99.7
15,23,Rickey Henderson,99.5
15,24,Randy Johnson,98.2
15,25,Mel Ott,97.4
15,26,Jimmie Foxx,96.3
15,27,Greg Maddux,94.7
15,28,Eddie Mathews,94.4
15,29,Frank Robinson,93.9
15,30,Warren Spahn,93.4
15,31,Joe Morgan,92.4
15,32,Roberto Clemente,91.2
15,33,Bob Gibson,90.8
15,34,Bert Blyleven,90.7
15,35,Phil Niekro,90.5
15,36,Nap Lajoie,90.0
15,37,Cal Ripken,88.9
15,38,Gaylord Perry,88.2
15,39,Wade Boggs,87.9
15,40,Carl Yastrzemski,87.0
15,41,Eddie Plank,86.8
15,42,Pedro Martinez,85.6
15,43,George Brett,84.8
15,44,Steve Carlton,84.5
15,45,Robin Roberts,84.0
15,46,Ken Griffey,82.9
15,47,Al Kaline,82.5
15,48,Fergie Jenkins,82.0
15,49,Adrian Beltre,80.8
15,50,Curt Schilling,80.5
15,51,Charlie Gehringer,80.0
15,52,Jeff Bagwell,79.6
15,53,Mike Mussina,78.4
15,54,Joe DiMaggio,78.1
15,55,Chipper Jones,77.6
15,56,Pete Rose,76.8
15,57,Rod Carew,75.8
15,58,Brooks Robinson,75.7
15,59,Johnny Bench,75.5
15,60,Cy Young,75.2
15,61,Reggie Jackson,74.6
15,62,Ozzie Smith,73.1
15,63,Arky Vaughan,72.9
15,64,Tom Glavine,72.9
15,65,Harry Heilmann,72.5
15,66,Sam Crawford,72.5
15,67,Luke Appling,72.5
15,68,Ron Santo,72.2
15,69,Larry Walker,71.5
15,70,Robin Yount,71.1
15,71,Frank Thomas,71.1
15,72,Johnny Mize,71.0
15,73,Nolan Ryan,70.7
15,74,Alan Trammell,70.6
15,75,Jim Palmer,70.1
15,76,Kevin Brown,70.1
15,77,Carl Hubbell,69.9
15,78,Rick Reuschel,69.9
15,79,Bobby Grich,69.8
15,80,Derek Jeter,69.8
15,81,Scott Rolen,69.7
15,82,Paul Waner,69.6
15,83,Gary Carter,69.5
15,84,Paul Molitor,69.5
15,85,Roy Halladay,69.4
15,86,Bob Feller,69.2
15,87,Lou Whitaker,69.1
15,88,Frankie Frisch,69.1
15,89,Luis Tiant,68.8
15,90,Ernie Banks,68.8
15,91,Al Simmons,68.6
15,92,Edgar Martinez,68.5
15,93,Barry Larkin,68.5
15,94,Jim Thome,68.4
15,95,Manny Ramirez,68.3
15,96,Rafael Palmeiro,67.8
15,97,Don Drysdale,67.7
15,98,Ted Lyons,67.7
15,99,Carlos Beltran,67.7
15,100,Ryne Sandberg,67.7
16,1,Babe Ruth,164.8
16,2,Walter Johnson,152.3
16,3,Willie Mays,141.8
16,4,Barry Bonds,141.4
16,5,Rogers Hornsby,126.4
16,6,Ty Cobb,126.2
16,7,Hank Aaron,125.2
16,8,Ted Williams,121.1
16,9,Roger Clemens,120.7
16,10,Tris Speaker,119.9
16,11,Stan Musial,117.8
16,12,Pete Alexander,117.5
16,13,Honus Wagner,113.9
16,14,Alex Rodriguez,113.9
16,15,Eddie Collins,113.1
16,16,Lou Gehrig,112.6
16,17,Lefty Grove,110.5
16,18,Mike Schmidt,106.8
16,19,Mickey Mantle,106.5
16,20,Tom Seaver,104.9
16,21,Christy Mathewson,104.2
16,22,Rickey Henderson,102.4
16,23,Mel Ott,101.9
16,24,Randy Johnson,99.9
16,25,Albert Pujols,99.7
16,26,Greg Maddux,98.0
16,27,Frank Robinson,97.7
16,28,Jimmie Foxx,97.4
16,29,Warren Spahn,96.7
16,30,Eddie Mathews,96.2
16,31,Joe Morgan,95.1
16,32,Bert Blyleven,93.9
16,33,Roberto Clemente,93.5
16,34,Phil Niekro,93.2
16,35,Cal Ripken,91.5
16,36,Bob Gibson,90.8
16,37,Gaylord Perry,90.4
16,38,Nap Lajoie,90.0
16,39,Wade Boggs,89.9
16,40,Carl Yastrzemski,89.7
16,41,Eddie Plank,88.8
16,42,Steve Carlton,86.9
16,43,Robin Roberts,86.6
16,44,George Brett,86.5
16,45,Pedro Martinez,86.2
16,46,Al Kaline,85.3
16,47,Fergie Jenkins,84.7
16,48,Ken Griffey,83.6
16,49,Adrian Beltre,82.8
16,50,Curt Schilling,81.6
16,51,Mike Mussina,80.6
16,52,Charlie Gehringer,80.5
16,53,Chipper Jones,80.2
16,54,Jeff Bagwell,79.6
16,55,Pete Rose,79.2
16,56,Joe DiMaggio,78.1
16,57,Rod Carew,77.9
16,58,Brooks Robinson,77.9
16,59,Reggie Jackson,75.7
16,60,Tom Glavine,75.5
16,61,Johnny Bench,75.5
16,62,Cy Young,75.2
16,63,Ozzie Smith,74.7
16,64,Luke Appling,74.0
16,65,Sam Crawford,73.7
16,66,Nolan Ryan,73.1
16,67,Frank Thomas,73.0
16,68,Arky Vaughan,72.9
16,69,Larry Walker,72.7
16,70,Robin Yount,72.7
16,71,Harry Heilmann,72.5
16,72,Ron Santo,72.2
16,73,Paul Molitor,71.8
16,74,Lou Whitaker,71.7
16,75,Derek Jeter,71.5
16,76,Alan Trammell,71.4
16,77,Johnny Mize,71.0
16,78,Paul Waner,70.8
16,79,Jim Palmer,70.8
16,80,Rick Reuschel,70.7
16,81,Bobby Grich,70.6
16,82,Kevin Brown,70.4
16,83,Scott Rolen,70.3
16,84,Frankie Frisch,70.1
16,85,Rafael Palmeiro,70.1
16,86,Gary Carter,70.0
16,87,Carl Hubbell,69.9
16,88,Jim Thome,69.9
16,89,Al Simmons,69.8
16,90,Ted Lyons,69.6
16,91,Bob Feller,69.6
16,92,Roy Halladay,69.4
16,93,Manny Ramirez,69.4
16,94,Barry Larkin,69.4
16,95,Ernie Banks,69.0
16,96,Luis Tiant,69.0
16,97,Edgar Martinez,68.7
16,98,John Smoltz,68.4
16,99,Carlos Beltran,68.3
16,100,Kenny Lofton,68.1
17,1,Babe Ruth,171.0
17,2,Walter Johnson,156.3
17,3,Barry Bonds,147.2
17,4,Willie Mays,146.2
17,5,Ty Cobb,131.7
17,6,Hank Aaron,130.2
17,7,Rogers Hornsby,126.8
17,8,Tris Speaker,125.1
17,9,Roger Clemens,124.2
17,10,Ted Williams,123.1
17,11,Stan Musial,121.5
17,12,Pete Alexander,120.0
17,13,Eddie Collins,117.0
17,14,Alex Rodriguez,117.0
17,15,Honus Wagner,113.9
17,16,Lou Gehrig,112.6
17,17,Lefty Grove,110.5
17,18,Mickey Mantle,108.3
17,19,Tom Seaver,107.5
17,20,Mike Schmidt,106.9
17,21,Mel Ott,105.7
17,22,Rickey Henderson,104.6
17,23,Christy Mathewson,104.2
17,24,Randy Johnson,101.6
17,25,Greg Maddux,101.2
17,26,Frank Robinson,101.1
17,27,Albert Pujols,99.7
17,28,Warren Spahn,99.6
17,29,Jimmie Foxx,98.3
17,30,Joe Morgan,97.2
17,31,Eddie Mathews,96.4
17,32,Bert Blyleven,96.1
17,33,Phil Niekro,95.4
17,34,Roberto Clemente,94.8
17,35,Cal Ripken,93.4
17,36,Gaylord Perry,92.7
17,37,Carl Yastrzemski,92.0
17,38,Wade Boggs,91.3
17,39,Bob Gibson,90.8
17,40,Eddie Plank,90.6
17,41,Nap Lajoie,90.0
17,42,Robin Roberts,89.1
17,43,Steve Carlton,89.0
17,44,George Brett,87.9
17,45,Al Kaline,87.9
17,46,Pedro Martinez,86.5
17,47,Fergie Jenkins,86.2
17,48,Ken Griffey,84.2
17,49,Adrian Beltre,83.6
17,50,Chipper Jones,82.5
17,51,Mike Mussina,82.1
17,52,Curt Schilling,82.1
17,53,Pete Rose,80.9
17,54,Charlie Gehringer,80.6
17,55,Rod Carew,79.7
17,56,Brooks Robinson,79.7
17,57,Jeff Bagwell,79.6
17,58,Joe DiMaggio,78.1
17,59,Tom Glavine,77.8
17,60,Reggie Jackson,76.6
17,61,Ozzie Smith,76.2
17,62,Johnny Bench,75.5
17,63,Cy Young,75.2
17,64,Nolan Ryan,75.0
17,65,Luke Appling,75.0
17,66,Robin Yount,74.2
17,67,Sam Crawford,73.7
17,68,Lou Whitaker,73.5
17,69,Frank Thomas,73.4
17,70,Paul Molitor,73.3
17,71,Arky Vaughan,72.9
17,72,Larry Walker,72.7
17,73,Derek Jeter,72.6
17,74,Harry Heilmann,72.5
17,75,Ron Santo,72.2
17,76,Alan Trammell,72.1
17,77,Paul Waner,72.0
17,78,Ted Lyons,71.3
17,79,Jim Thome,71.3
17,80,Rick Reuschel,71.0
17,81,Jim Palmer,71.0
17,82,Johnny Mize,71.0
17,83,Bobby Grich,70.9
17,84,Rafael Palmeiro,70.8
17,85,Kevin Brown,70.5
17,86,Frankie Frisch,70.3
17,87,Scott Rolen,70.3
17,88,Manny Ramirez,70.3
17,89,Gary Carter,70.1
17,90,Barry Larkin,70.1
17,91,Al Simmons,70.0
17,92,Carl Hubbell,69.9
17,93,Bob Feller,69.7
17,94,John Smoltz,69.5
17,95,Roy Halladay,69.4
17,96,Luis Tiant,69.1
17,97,Ernie Banks,69.0
17,98,Edgar Martinez,68.7
17,99,Carlos Beltran,68.6
17,100,Red Faber,68.6
18,1,Babe Ruth,176.1
18,2,Walter Johnson,160.1
18,3,Barry Bonds,151.2
18,4,Willie Mays,150.1
18,5,Ty Cobb,137.1
18,6,Hank Aaron,134.9
18,7,Tris Speaker,129.6
18,8,Roger Clemens,127.1
18,9,Rogers Hornsby,127.1
18,10,Stan Musial,124.1
18,11,Ted Williams,123.4
18,12,Pete Alexander,122.1
18,13,Eddie Collins,120.1
18,14,Alex Rodriguez,119.2
18,15,Honus Wagner,113.9
18,16,Lou Gehrig,112.6
18,17,Lefty Grove,110.5
18,18,Tom Seaver,110.1
