idx,rank,player,war
2,97,Jason Giambi,16.9
2,98,Ichiro Suzuki,16.8
2,99,Teddy Higuera,16.8
2,100,Mel Ott,16.8
3,1,Walter Johnson,43.6
3,2,Babe Ruth,39.3
3,3,Pete Alexander,35.3
3,4,Barry Bonds,34.2
3,5,Ed Walsh,34.1
3,6,Bob Gibson,33.3
3,7,Rogers Hornsby,33.3
3,8,Mickey Mantle,33.0
3,9,Willie Mays,32.9
3,10,Cy Young,32.7
3,11,Ty Cobb,32.5
3,12,Carl Yastrzemski,32.4
3,13,Roger Clemens,32.2
3,14,Ted Williams,32.1
3,15,Lou Gehrig,31.8
3,16,Christy Mathewson,31.6
3,17,Honus Wagner,31.0
3,18,Lefty Grove,30.8
3,19,Tom Seaver,30.4
3,20,Joe McGinnity,30.4
3,21,Pedro Martinez,30.4
3,22,Randy Johnson,30.2
3,23,Hal Newhouser,30.0
3,24,Steve Carlton,30.0
3,25,Rube Waddell,30.0
3,26,Wilbur Wood,29.9
3,27,Joe Morgan,29.8
3,28,Stan Musial,29.8
3,29,Bob Feller,29.7
3,30,Cal Ripken,29.6
3,31,Sandy Koufax,29.6
3,32,Eddie Collins,29.5
3,33,Mike Trout,29.4
3,34,Alex Rodriguez,29.2
3,35,Tris Speaker,29.0
3,36,Jimmie Foxx,28.7
3,37,Rickey Henderson,28.6
3,38,Nap Lajoie,28.5
3,39,Juan Marichal,28.4
3,40,Eddie Cicotte,28.3
3,41,Dazzy Vance,28.3
3,42,Wes Ferrell,28.1
3,43,Greg Maddux,27.8
3,44,Ernie Banks,27.7
3,45,Jackie Robinson,27.7
3,46,Gaylord Perry,27.7
3,47,Albert Pujols,27.7
3,48,Ron Santo,27.6
3,49,Ken Griffey,27.5
3,50,Robin Roberts,27.5
3,51,Mike Schmidt,27.4
3,52,Phil Niekro,27.3
3,53,Hank Aaron,27.1
3,54,Fergie Jenkins,27.0
3,55,Stan Coveleski,26.7
3,56,Red Faber,26.6
3,57,Warren Spahn,26.6
3,58,Joe Jackson,26.4
3,59,George Brett,26.3
3,60,Lou Boudreau,26.3
3,61,Duke Snider,26.2
3,62,Carl Hubbell,26.1
3,63,Wade Boggs,25.8
3,64,Zack Greinke,25.7
3,65,Vic Willis,25.5
3,66,Arky Vaughan,25.4
3,67,Curt Schilling,25.4
3,68,Russ Ford,25.4
3,69,George Sisler,25.4
3,70,Joe DiMaggio,25.3
3,71,Roy Halladay,25.3
3,72,Jim Bunning,25.3
3,73,Roberto Clemente,25.2
3,74,Nap Rucker,25.1
3,75,Chase Utley,25.0
3,76,Bert Blyleven,25.0
3,77,Bret Saberhagen,25.0
3,78,Rod Carew,25.0
3,79,Dick Allen,24.9
3,80,Todd Helton,24.9
3,81,Robin Yount,24.8
3,82,Mel Ott,24.6
3,83,Adrian Beltre,24.6
3,84,Noodles Hahn,24.5
3,85,Ralph Kiner,24.5
3,86,Frank Baker,24.5
3,87,Eddie Mathews,24.5
3,88,Dizzy Trout,24.4
3,89,Robinson Cano,24.3
3,90,Frank Robinson,24.3
3,91,Kevin Brown,24.2
3,92,Mordecai Brown,24.2
3,93,Brooks Robinson,24.2
3,94,Al Kaline,24.1
3,95,Jason Giambi,24.0
3,96,Clayton Kershaw,23.9
3,97,Joe Wood,23.9
3,98,Josh Donaldson,23.9
3,99,Johnny Bench,23.8
3,100,Frankie Frisch,23.8
4,1,Walter Johnson,55.7
4,2,Babe Ruth,51.2
4,3,Pete Alexander,45.2
4,4,Barry Bonds,44.1
4,5,Rogers Hornsby,43.5
4,6,Willie Mays,43.5
4,7,Ed Walsh,43.2
4,8,Mickey Mantle,42.5
4,9,Cy Young,42.5
4,10,Ty Cobb,42.3
4,11,Ted Williams,41.9
4,12,Christy Mathewson,41.6
4,13,Lou Gehrig,41.1
4,14,Roger Clemens,41.1
4,15,Bob Gibson,41.1
4,16,Lefty Grove,40.3
4,17,Honus Wagner,40.1
4,18,Joe Morgan,39.1
4,19,Carl Yastrzemski,39.0
4,20,Randy Johnson,38.8
4,21,Stan Musial,38.8
4,22,Rube Waddell,38.8
4,23,Tom Seaver,38.7
4,24,Eddie Collins,38.6
4,25,Alex Rodriguez,38.5
4,26,Pedro Martinez,38.4
4,27,Joe McGinnity,38.0
4,28,Bob Feller,37.7
4,29,Tris Speaker,37.6
4,30,Mike Trout,37.3
4,31,Rickey Henderson,37.2
4,32,Cal Ripken,37.1
4,33,Steve Carlton,37.0
4,34,Sandy Koufax,37.0
4,35,Jimmie Foxx,37.0
4,36,Nap Lajoie,36.9
4,37,Hal Newhouser,36.6
4,38,Albert Pujols,36.3
4,39,Wes Ferrell,36.2
4,40,Juan Marichal,36.2
4,41,Robin Roberts,36.0
4,42,Hank Aaron,35.6
4,43,Greg Maddux,35.6
4,44,Ernie Banks,35.6
4,45,Wilbur Wood,35.5
4,46,Dazzy Vance,35.4
4,47,Mike Schmidt,35.4
4,48,Gaylord Perry,35.3
4,49,Phil Niekro,35.3
4,50,Ron Santo,35.2
4,51,Jackie Robinson,35.2
4,52,Ken Griffey,34.6
4,53,Fergie Jenkins,34.2
4,54,Wade Boggs,34.0
4,55,George Brett,33.9
4,56,Joe Jackson,33.9
4,57,Duke Snider,33.8
4,58,Lou Boudreau,33.7
4,59,Stan Coveleski,33.7
4,60,Warren Spahn,33.7
4,61,Eddie Cicotte,33.5
4,62,Carl Hubbell,33.3
4,63,Roy Halladay,32.7
4,64,Roberto Clemente,32.7
4,65,Joe DiMaggio,32.6
4,66,Arky Vaughan,32.4
4,67,Jim Bunning,32.3
4,68,Chase Utley,32.3
4,69,Eddie Mathews,32.3
4,70,Nap Rucker,32.3
4,71,Mel Ott,32.0
4,72,Frank Robinson,32.0
4,73,Rod Carew,31.9
4,74,Bert Blyleven,31.8
4,75,Curt Schilling,31.8
4,76,Vic Willis,31.6
4,77,Adrian Beltre,31.6
4,78,George Sisler,31.5
4,79,Dick Allen,31.3
4,80,Kevin Brown,31.2
4,81,Red Faber,31.2
4,82,Todd Helton,31.1
4,83,Clayton Kershaw,31.1
4,84,Noodles Hahn,31.0
4,85,Charlie Gehringer,31.0
4,86,Robinson Cano,31.0
4,87,Frank Baker,30.9
4,88,Zack Greinke,30.9
4,89,Bret Saberhagen,30.7
4,90,Robin Yount,30.7
4,91,Jeff Bagwell,30.7
4,92,Frankie Frisch,30.7
4,93,Al Kaline,30.7
4,94,Ralph Kiner,30.6
4,95,Eddie Plank,30.6
4,96,Johan Santana,30.5
4,97,Russ Ford,30.5
4,98,Johnny Bench,30.4
4,99,Ryne Sandberg,30.4
4,100,Brooks Robinson,30.2
5,1,Walter Johnson,67.3
5,2,Babe Ruth,62.9
5,3,Pete Alexander,54.1
5,4,Willie Mays,54.0
5,5,Barry Bonds,53.9
5,6,Rogers Hornsby,53.6
5,7,Ty Cobb,51.8
5,8,Ted Williams,51.6
5,9,Mickey Mantle,51.2
5,10,Cy Young,51.1
5,11,Ed Walsh,50.9
5,12,Christy Mathewson,50.7
5,13,Lou Gehrig,50.2
5,14,Roger Clemens,49.9
5,15,Lefty Grove,49.7
5,16,Honus Wagner,49.1
5,17,Bob Gibson,48.7
5,18,Joe Morgan,47.7
5,19,Stan Musial,47.6
5,20,Eddie Collins,47.5
5,21,Randy Johnson,47.4
5,22,Alex Rodriguez,47.3
5,23,Tris Speaker,46.1
5,24,Tom Seaver,45.9
5,25,Pedro Martinez,45.7
5,26,Jimmie Foxx,44.8
5,27,Nap Lajoie,44.8
5,28,Albert Pujols,44.8
5,29,Carl Yastrzemski,44.5
5,30,Rube Waddell,44.5
5,31,Rickey Henderson,44.1
5,32,Hank Aaron,44.1
5,33,Cal Ripken,43.8
5,34,Wes Ferrell,43.4
5,35,Robin Roberts,43.3
5,36,Mike Schmidt,43.2
5,37,Steve Carlton,43.2
5,38,Bob Feller,43.1
5,39,Hal Newhouser,43.0
5,40,Greg Maddux,42.7
5,41,Sandy Koufax,42.7
5,42,Juan Marichal,42.6
5,43,Jackie Robinson,42.2
5,44,Phil Niekro,42.2
5,45,Wade Boggs,42.0
5,46,Ernie Banks,42.0
5,47,Ron Santo,41.9
5,48,Gaylord Perry,41.8
5,49,Dazzy Vance,41.5
5,50,Ken Griffey,41.5
5,51,George Brett,41.4
5,52,Joe McGinnity,41.2
5,53,Joe Jackson,40.9
5,54,Wilbur Wood,40.9
5,55,Fergie Jenkins,40.8
5,56,Stan Coveleski,40.6
5,57,Warren Spahn,40.0
5,58,Roberto Clemente,39.9
5,59,Eddie Mathews,39.7
5,60,Duke Snider,39.7
5,61,Lou Boudreau,39.7
5,62,Roy Halladay,39.6
5,63,Chase Utley,39.5
5,64,Frank Robinson,39.5
5,65,Joe DiMaggio,39.5
5,66,Mel Ott,39.3
5,67,Arky Vaughan,39.0
5,68,Jim Bunning,39.0
5,69,Rod Carew,38.7
5,70,Bert Blyleven,38.4
5,71,Carl Hubbell,38.3
