pitcher,npa,year,icpt_dra_0,icpt_dra_bases_outs,icpt_dra_bats_stadium,icpt_dra_batter,icpt_dra_catcher,icpt_dra_csaa,icpt_dra_fraa_bat_home_id,icpt_dra_full,icpt_dra_inn_bat_home_id,icpt_dra_inn_scorediff,icpt_dra_role,icpt_dra_temp_log,icpt_dra_umpire
acevj001,215,1997,0.0076162116035148,0.00745213563633242,0.00838314921279314,0.00843070309096197,0.00752188104932027,0.00653278231186717,0.00901395525346441,0.00913512300118414,0.00723993138644668,0.00698966353433694,0.00848471123116233,0.0072384250129739,0.00754452253059779
acrem001,75,1997,0.00555129942854118,0.00549416285365474,0.00389941200225963,0.00538771879448192,0.00336444941114999,0.0044241639479714,0.00422074520514761,0.00259960449686442,0.00532153731352632,0.00557750424433674,0.00629196432398953,0.00571269724859306,0.00552405532546721
adamj001,325,1997,-0.000231773284331297,-0.000403936804577721,0.000576079527055149,0.00164332509692973,-5.30439124617845e-05,0.000232446673185127,0.00122299829170772,0.00155585556060515,-0.00167474584006695,-0.00146456617924289,0.000184507426504196,-0.000422037683961886,-0.000488759418626236
adamt001,341,1997,0.00864684437309333,0.00868444123885131,0.00942187151333248,0.00845276412928067,0.0078329103102654,0.00650900786141937,0.0112839709431506,0.0101446295896348,0.00969655463076508,0.0103816722969156,0.0104959012087095,0.00860775489303514,0.00873461398635069
adamw001,282,1997,0.0207353310707892,0.0203208637444947,0.0164139318263434,0.0197232795000793,0.0144414288312163,0.0181973350504734,0.0166796792859567,0.00957336969422998,0.0192526048588913,0.0198067952510327,0.0197717702741018,0.0211546182109369,0.0205197055687657
aguir001,285,1997,-0.00794803791285637,-0.00790017731478256,-0.00883577787794134,-0.00731347619507156,-0.00890370857687806,-0.00957280451476852,-0.0077372421552598,-0.00655362245136699,-0.00443065663937969,-0.00412428479147632,-0.00647373293160947,-0.00731845125261658,-0.00799515681958153
albej001,143,1997,0.017120901049196,0.0172093327333341,0.0125399925997289,0.015695181279236,0.0139764405910391,0.0159556044972024,0.0165676546714573,0.0111019452171229,0.01610264180592,0.0163078290934372,0.017534030271879,0.0173315040776043,0.0168174276992957
aldrs001,350,1997,0.0293904660774542,0.0292614094492157,0.0280877598800472,0.0308548594312388,0.0239966955363676,0.0250882000945239,0.0292683497188154,0.0248804927568633,0.0287990907395809,0.0284434129553875,0.028475098003078,0.0310769817505954,0.0293696854568236
alfoa001,123,1997,0.00998186040100544,0.0101875408830987,0.0105987804356255,0.010891357990758,0.00912630280760977,0.00750624407425561,0.00940076524877105,0.00929926514991179,0.00898474265859793,0.00891470450551486,0.0110878112798316,0.00968798497489036,0.00999582544822506
almac001,12,1997,-0.00325484904371951,-0.00319132844598112,-0.00280789557066268,-0.00391741591904698,-0.00257574226004377,-0.00285340749017175,-0.00315376801030661,-0.00290614085648818,-0.00309713210276594,-0.00311292505218838,-0.0032161394807096,-0.00330021183949868,-0.00322703293925366
